what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365962958422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365962958884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365962964398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963065536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963087627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963153607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963158529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963282389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365964376396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365964622143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986396338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986416456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986424529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986426735
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365986426824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365986507770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365986512512
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365986515101
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1365986544345
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365986545115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365986546210
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1365986551242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986554471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986567743
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1365986567771
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365986567891
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1365986569359
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365986569531
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1365986573157
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365986573346
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365986573510
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365986588712
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365986593162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986651867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986653964
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365986654046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986678059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986678407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986679537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986688040
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365986689661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986696189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986696621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986697928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986719847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986722579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986991001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986992907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987283913
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365987284052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987319069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987320823
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365987320919
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365987385425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987402263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987402380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987486767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987486906
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1365987533667
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1365987561295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365987570316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365987641371
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1365987644119
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365987646017
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987648185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987648665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987650103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987656022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987660132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987669074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987670056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987678693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1365987697972
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1365987703964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987708470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987708947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987709964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987730553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987759625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987759889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987760962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987765955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987790447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987790576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987793842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987793921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987831744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987831885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987835803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987835904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987838695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987838830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987841326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987841461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987845711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987845839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987848641
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987848773
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1365987854516
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1365987858798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365987859415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365987860348
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1365987861217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365987882430
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365987884238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365987885875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365987887381
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365987888822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365987890222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1365987896417
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1365987917947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987933992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987934366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987935362
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987941082
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987962109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987963263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987964249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365987971664
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1365987985019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988003528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988003831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988004934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988020333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988027808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988028108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988029231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988036205
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365988047377
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1365988047822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365988048961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988053021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988053342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988054621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988066450
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988070649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988073764
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988075190
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988084665
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988087316
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988101566
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988115038
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988120006
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365988131986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365988134670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365988137577
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365988142039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365988146140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988147587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988147943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988149235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988170076
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365988172495
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988176138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988221851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988222222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988223331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988228488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988231725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988335456
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1365988362056
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988362273
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988362404
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988426470
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1365988525347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365988527586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365988529054
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1365988539473
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1365988552022
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365988552864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365988553967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988565410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988565643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988566872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988572184
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365988572211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988574566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988579438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988619034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988626548
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365988635349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988665006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365988665290
