what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365962958422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365962958884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365962964398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963065536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963087627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963153607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963158529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963282389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365964376396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365964622143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986396338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986416456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986424529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986426735
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365986426824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365986507770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365986512512
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365986515101
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1365986544345
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365986545115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365986546210
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1365986551242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986554471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365986567743
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1365986567771
